iMISID,ID,UJURIS,UJURIS1,NAME_CUT,UPO,NAMELSAD,TEST,USTATE,STATE_TITLE,COUNTYFP +,COUSUBFP,COUSUBNS,FIPS_PLACE_ID,ST_FIP,ICMA_REGION_CODE,UCNTY#,GEOID,UZIP,UTYPE,UID,UPOP,UGRAPH,UREGN,UMETRO,UFOG,STATEFP +,per_flood,drought,per_sea,flood_dummy,drought_dummy,sea_dummy,score_hazard,statereg,per_water,pop_total_log,pop_density_log,pop_growth,age_median,per_white,per_male,per_manufact,edu_bachelor,per_democrat,hh_oc,income_log,prior_env,prior_cli,greenaction,staffs,urban,impervious
155172,155172,City of Sealy,"SEALY, CITY OF",Sealy,Sealy,Sealy CCD,TRUE,TX,Texas,15,93490,1939180,66464,4866464,MP,15,4801593490,77474-0517,1,1,7,7,3,3,2,48,16.7259746,10.05523811,0,2,2,0,4,0,0,9.477998293,3.224683187,149.0282012,37.7,76.3,49.9,18.5,9.3222264,46.12,74.3,11.01074569,2,1,0,0,2,1
155179,155179,City of Sugar Land,"SUGAR LAND, CITY OF",Sugar Land,Sugar Land,Sugar Land CCD,TRUE,TX,Texas,157,93780,1939238,70808,4870808,MP,157,4815793780,77487-0110,1,1,4,7,3,2,2,48,21.871828,8.712598425,0,2,2,0,4,0,0,12.42259432,6.875822909,292.1646033,36,45.3,49.3,9.6,26.0262798,50.45,78.5,11.33810768,3,1,2,0,83,0
207859,207859,City of Texarkana,"TEXARKANA, CITY OF",Texarkana,Texarkana,Texarkana CCD,TRUE,TX,Texas,37,93875,1939257,72368,4872368,MP,37,4803793875,75504-1967,1,1,5,7,3,1,2,48,39.2043398,10,0,2,2,0,4,0,0,10.97127974,5.188796791,67.26755218,37,62.2,49.2,9.4,11.796002,34,59.4,10.66951338,2,2,4,1,35,0
154508,154508,City of Waco,"WACO, CITY OF",Waco,Waco,Waco CCD,TRUE,TX,Texas,309,94055,1939293,76000,4876000,MP,309,4830994055,76702-2570,1,1,3,7,3,1,2,48,25.4215757,12.98018293,0,2,2,0,4,0,3.6974657,12.09973387,5.612757522,58.12039463,30.7,64.5,48.2,12.2,9.6185208,37.65,54.2,10.53153606,4,1,2,0,34,0
199765,199765,City of Wichita Falls,"WICHITA FALLS, CITY OF",Wichita Falls,Wichita Falls,Wichita Falls CCD,TRUE,TX,Texas,485,94215,1939325,79000,4879000,MP,485,4848594215,76307-7531,1,1,3,7,3,1,2,48,17.3539911,8.939271246,0,2,2,0,4,0,0.724328543,11.59615386,5.372655529,4.301467413,32.9,73.9,51.8,10.2,10.9246183,30.16,58.5,10.63648025,2,1,0,0,26,1
201294,201294,City of Alpine,"ALPINE, CITY OF",Alpine,Alpine,Alpine CCD,TRUE,TX,Texas,43,90040,1938483,2104,482104,MP,43,4804390040,79830-4401,1,1,7,7,3,3,2,48,0,13.43371233,0,0,2,0,2,0,0,9.067739403,-0.043328349,49.86173522,40.6,86.4,50.3,3.1,15.7415079,36.81,60,10.48332605,2,2,1,0,0,0
199546,199546,City of Alvarado,"ALVARADO, CITY OF",Alvarado,Alvarado,Alvarado CCD,TRUE,TX,Texas,251,90050,1938485,2260,482260,MP,251,4825190050,76009-4319,1,1,8,7,3,2,1,48,10.6364035,9.786848073,0,1,2,0,3,0,0.400774908,10.60876091,4.528446628,1131.386861,37.7,85.2,51.8,17.9,7.575137,43.73,84.8,10.9930591,2,1,0,0,15,1
201048,201048,City of Amarillo,"AMARILLO, CITY OF",Amarillo,Amarillo,Amarillo CCD,TRUE,TX,Texas,375,90065,1938488,3000,483000,MP,375,4837590065,79105-1971,1,1,3,7,3,1,2,48,7.2699966,10.18095238,0,1,2,0,3,0,0,11.65968029,5.908614833,-33.30127227,32.6,68.8,51.2,11.3,7.1718849,13.62,56.6,10.47200645,2,1,0,0,43,0
157263,157263,City of Big Spring,"BIG SPRING, CITY OF",Big Spring,Big Spring,Big Spring CCD,TRUE,TX,Texas,227,90300,1938535,8236,488236,MP,227,4822790300,79720-2657,1,1,5,7,3,3,2,48,7.4145279,14,0,1,2,0,3,0,0.650631043,10.33341761,3.536479739,21.83648397,37.8,72.2,57.2,5.4,5.6025863,26.27,64.9,10.55396207,2,1,0,0,4,0
200614,200614,Town of Bishop,"BISHOP, TOWN OF",Bishop,Bishop,Bishop CCD,TRUE,TX,Texas,355,90315,1938538,8392,488392,MP,355,4835590315,78343-0356,1,2,8,7,3,2,2,48,0.00463,12.01750547,0,0,2,0,2,0,0,8.808966882,2.682766486,102.5416036,35.2,85.8,49.3,12.1,5.1772734,47.33,79,10.57195775,4,2,0,0,1,0
