network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
InMobi,App_Native,1452879973491727,2016-04-19,android,16209,0.8576716639,0.419088160898266,0.561910049972238,0.572151273983589,0.0964896045406873,0.0279474366092911,0.00925411808254673,0,0.057684003
InMobi,App_Native,1452880178577456,2016-04-19,ios,537,0.9404096834,0.532588454376164,0.791433891992551,0.633147113594041,0.175046554934823,0.031657355679702,0.00931098696461825,1,0.055865922
InMobi,App_Native,1453932320649080,2016-04-19,android,269,0.8252788104,0.379182156133829,0.472118959107807,0.505576208178439,0.0780669144981413,0.0260223048327138,0.0260223048327138,0,0.040892193
InMobi,App_Native,1453932492790355,2016-04-19,android,1976,0.7955465587,0.420546558704453,0.52580971659919,0.554655870445344,0.0946356275303644,0.0227732793522267,0.013663967611336,0,0.048076923
InMobi,App_Native,2014,2016-04-19,android,272,0.9963235294,0.459558823529412,0.444852941176471,0.466911764705882,0.106617647058824,0.0147058823529412,0.00735294117647059,0,0.036764706
InMobi,App_Native,3563,2016-04-19,android,1218,0.73727422,0.264367816091954,0.334975369458128,0.325944170771757,0.0706075533661741,0.0090311986863711,0.00985221674876847,0,0.02134647
InMobi,App_Native,3745,2016-04-19,android,353,0.3796033994,0.121813031161473,0.172804532577904,0.175637393767705,0.0169971671388102,0.0028328611898017,0.0028328611898017,0,0.033994334
InMobi,App_Native,4125,2016-04-19,android,477,0.964360587,0.335429769392034,0.50314465408805,0.505241090146751,0.0880503144654088,0.0188679245283019,0.00838574423480084,0,0.035639413
InMobi,App_Native,{affiliate_id},2016-04-19,android,875,0.7851428571,0.249142857142857,0.312,0.308571428571429,0.0537142857142857,0.00914285714285714,0.00685714285714286,0,0.014857143
Motive,ID_App_Native,68332,2016-04-19,android,691,0.989869754,0.502170767004341,0.613603473227207,0.616497829232996,0.0998552821997106,0.0274963820549928,0.0101302460202605,0,0.040520984
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-19,android,3946,0.2878864673,0.119614799797263,0.185250886974151,0.174607197161683,0.0304105423213381,0.00861632032437912,0.00228079067410035,0,0.036492651
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-19,ios,381,0.5144356955,0.272965879265092,0.393700787401575,0.320209973753281,0.102362204724409,0.0236220472440945,0.0131233595800525,1,0.049868766
